,train_loss,train_acc,val_loss,val_acc
0,0.10005951244674441,0.9626124501228333,0.07059538183605363,0.975096583366394
1,0.06487198288458747,0.9769483804702759,0.06061466642141599,0.9781201481819153
2,0.05939110306226054,0.9782067537307739,0.056682578008621934,0.9791897535324097
3,0.05549812580018144,0.9794037342071533,0.054829784265944155,0.979557454586029
4,0.053477478182117906,0.9798985123634338,0.05285505344609505,0.980076014995575
5,0.05223063333101433,0.9802389144897461,0.05148945736602462,0.9804388880729675
6,0.0508482719172493,0.9806065559387207,0.05062541550603406,0.9806158542633057
7,0.049886584947555865,0.9808557033538818,0.049794031185065875,0.9808265566825867
8,0.04935982840418164,0.9809887409210205,0.049080085595427404,0.9809842109680176
9,0.04856577214803211,0.98121577501297,0.04868310084405901,0.9811035394668579
10,0.04637390184762097,0.9818399548530579,0.04602907071500246,0.9818964600563049
11,0.04601769375091177,0.9819599986076355,0.04583996334916045,0.9819573760032654
